date,tmax,tmin,tmed
01/1901,13.2,5.4,9.3
02/1901,11.2,3.8,7.5
03/1901,14.5,6.9,10.7
04/1901,19.1,9.8,14.45
05/1901,22.5,11.3,16.9
06/1901,29.2,15,22.1
07/1901,32.4,16.6,24.5
08/1901,31.9,16.8,24.35
09/1901,25.5,14.2,19.85
10/1901,20,10.7,15.35
11/1901,15.6,7.8,11.7
12/1901,11.8,4.8,8.3
01/1902,13.6,5.9,9.75
02/1902,13.4,7.3,10.35
03/1902,17.6,8.4,13
04/1902,18.2,9.7,13.95
05/1902,21.7,9.9,15.8
06/1902,25.1,12.4,18.75
07/1902,29.5,15.9,22.7
08/1902,31,15.9,23.45
09/1902,26.9,14.9,20.9
10/1902,21.4,11.3,16.35
11/1902,16.1,9.9,13
12/1902,12.9,6.6,9.75
01/1903,12.7,5.6,9.15
02/1903,16.3,6.7,11.5
03/1903,17.2,7.6,12.4
04/1903,20.8,10.4,15.6
05/1903,19.4,10.2,14.8
06/1903,24.9,13,18.95
07/1903,30.6,15.9,23.25
08/1903,32.2,16.8,24.5
09/1903,25.4,14.5,19.95
10/1903,21.5,12.3,16.9
11/1903,17.3,9.5,13.4
12/1903,11.3,5,8.15
01/1904,11.7,5.2,8.45
02/1904,13,6.6,9.8
03/1904,14.3,6.1,10.2
04/1904,21.3,10.2,15.75
05/1904,25.5,12.2,18.85
06/1904,27.5,14.2,20.85
07/1904,30.4,14.7,22.55
08/1904,31.3,16.6,23.95
09/1904,25.4,13.6,19.5
10/1904,24.4,14.1,19.25
11/1904,16.8,9.3,13.05
12/1904,14,7.8,10.9
01/1905,12.6,4.6,8.6
02/1905,13.9,4.8,9.35
03/1905,18,8.4,13.2
04/1905,21,10.2,15.6
05/1905,23.9,11.3,17.6
06/1905,24.9,12.5,18.7
07/1905,31.7,16.4,24.05
08/1905,30.6,14.9,22.75
09/1905,25.4,13.8,19.6
10/1905,22,12.1,17.05
11/1905,13.9,8,10.95
12/1905,13.6,6.4,10
01/1906,13.1,6.1,9.6
02/1906,12.5,4.4,8.45
03/1906,15.4,6.4,10.9
04/1906,18.1,8,13.05
05/1906,21.9,11.2,16.55
06/1906,28.6,15.2,21.9
07/1906,31.2,15.4,23.3
08/1906,33.7,16.9,25.3
09/1906,27.1,16.3,21.7
10/1906,21.6,12.8,17.2
11/1906,16.5,8,12.25
12/1906,12.7,1,6.85
01/1907,12.9,4.4,8.65
02/1907,12.2,4.1,8.15
03/1907,20,8.3,14.15
04/1907,19.4,8.7,14.05
05/1907,20.7,10.2,15.45
06/1907,28.9,13.7,21.3
07/1907,29.4,14.8,22.1
08/1907,33.4,17.6,25.5
09/1907,28.5,16.6,22.55
10/1907,17.9,10.8,14.35
11/1907,15.2,9.1,12.15
12/1907,13.5,8.7,11.1
01/1908,12.7,6.7,9.7
02/1908,15.6,5.4,10.5
03/1908,15.2,5.8,10.5
04/1908,17.9,7.6,12.75
05/1908,25.6,12.8,19.2
06/1908,24.4,13.5,18.95
07/1908,31.5,15.4,23.45
08/1908,30.6,15.9,23.25
09/1908,29.2,15.8,22.5
10/1908,22.6,13.7,18.15
11/1908,16.8,10.5,13.65
12/1908,13.1,7.1,10.1
01/1909,11.9,5.1,8.5
02/1909,13,4.7,8.85
03/1909,14,6.5,10.25
04/1909,20.9,10.6,15.75
05/1909,23.2,12.6,17.9
06/1909,23.6,11.4,17.5
07/1909,32.2,16,24.1
08/1909,31,16.1,23.55
09/1909,25.5,13.8,19.65
10/1909,23.4,12.7,18.05
11/1909,16.1,7.9,12
12/1909,14.2,8.5,11.35
01/1910,12,4.6,8.3
02/1910,14.3,6.6,10.45
03/1910,15,6.2,10.6
04/1910,18.7,8.1,13.4
05/1910,21.2,10.1,15.65
06/1910,26.6,13.7,20.15
07/1910,29.1,14.8,21.95
08/1910,30.3,15.8,23.05
09/1910,27.9,15.7,21.8
10/1910,21.7,15.7,18.7
11/1910,16,12.5,14.25
12/1910,13.5,8.4,10.95
01/1911,11.4,3,7.2
02/1911,15.5,5.9,10.7
03/1911,14.4,5.8,10.1
04/1911,17.1,7.8,12.45
05/1911,21.3,10.6,15.95
06/1911,24.2,12.9,18.55
07/1911,31.4,17.4,24.4
08/1911,31.3,16.4,23.85
09/1911,30.2,17.9,24.05
10/1911,19.4,11.5,15.45
11/1911,15.8,8.8,12.3
12/1911,13.8,7.6,10.7
01/1912,12.3,5.4,8.85
02/1912,14.9,8.1,11.5
03/1912,17,8.5,12.75
04/1912,19.4,8.8,14.1
05/1912,24.1,12.7,18.4
06/1912,26.9,12.3,19.6
07/1912,26.5,12.8,19.65
08/1912,27.9,13.9,20.9
09/1912,26.6,15.3,20.95
10/1912,20.6,11.7,16.15
11/1912,17.2,7.9,12.55
12/1912,13.2,5.3,9.25
01/1913,13.4,7.6,10.5
02/1913,14.1,6.3,10.2
03/1913,16.4,7.8,12.1
04/1913,17,7.8,12.4
05/1913,22.2,11,16.6
06/1913,31.4,15.2,23.3
07/1913,30.4,15.9,23.15
08/1913,28.5,15.2,21.85
09/1913,24,13.9,18.95
10/1913,19.5,12,15.75
11/1913,16.4,9.6,13
12/1913,12.7,5.8,9.25
01/1914,11.6,4.5,8.05
02/1914,13.3,6.7,10
03/1914,15.8,7.4,11.6
04/1914,18.9,9.3,14.1
05/1914,22.7,11.2,16.95
06/1914,23.8,12.1,17.95
07/1914,29.8,14.6,22.2
08/1914,31.5,16,23.75
09/1914,30,17.2,23.6
10/1914,22,12.1,17.05
11/1914,15.1,8.6,11.85
12/1914,12.9,7.2,10.05
01/1915,10.9,4.9,7.9
02/1915,12.5,6.5,9.5
03/1915,16,8.9,12.45
04/1915,17.4,7.9,12.65
05/1915,22,12.2,17.1
06/1915,26.7,14,20.35
07/1915,31.7,16.1,23.9
08/1915,32.1,17.7,24.9
09/1915,26.8,15.4,21.1
10/1915,21.2,11.7,16.45
11/1915,15.8,9.1,12.45
12/1915,13.6,7.9,10.75
01/1916,13.6,5.5,9.55
02/1916,13.2,5.2,9.2
03/1916,12.6,5.9,9.25
04/1916,19.6,8.4,14
05/1916,22.2,11.7,16.95
06/1916,27.5,12.9,20.2
07/1916,29.2,14.8,22
08/1916,30.2,15.6,22.9
09/1916,27.5,15.6,21.55
10/1916,24,13.6,18.8
11/1916,16,8.6,12.3
12/1916,13.7,7.4,10.55
01/1917,11.1,4.5,7.8
02/1917,12.6,5.8,9.2
03/1917,14.1,5.6,9.85
04/1917,18,7.9,12.95
05/1917,21.5,11.5,16.5
06/1917,26.4,13.2,19.8
07/1917,32.2,16.2,24.2
08/1917,29.2,14.4,21.8
09/1917,30.4,17.2,23.8
10/1917,21.9,11.3,16.6
11/1917,19.1,8.2,13.65
12/1917,11.1,3.3,7.2
01/1918,13.4,7.3,10.35
02/1918,15.9,6.9,11.4
03/1918,15.4,6.8,11.1
04/1918,16.7,7.3,12
05/1918,23.1,11.2,17.15
06/1918,28.2,15,21.6
07/1918,30.3,15.8,23.05
08/1918,32.6,17.6,25.1
09/1918,26,14.6,20.3
10/1918,20.2,9.8,15
11/1918,16,8.9,12.45
12/1918,13.4,6.6,10
01/1919,12.1,5,8.55
02/1919,14.5,8.5,11.5
03/1919,15.5,6.8,11.15
04/1919,18.4,8.2,13.3
05/1919,22.7,10.6,16.65
06/1919,29.5,15.5,22.5
07/1919,29.5,15,22.25
08/1919,34.2,18.2,26.2
09/1919,26.7,15.6,21.15
10/1919,20.5,11.3,15.9
11/1919,15.1,7.8,11.45
12/1919,12.6,5.5,9.05
01/1920,13,5.8,9.4
02/1920,15.3,7.3,11.3
03/1920,16.6,7,11.8
04/1920,19.8,10.2,15
05/1920,24.2,12.8,18.5
06/1920,27.4,14.5,20.95
07/1920,30.6,14.3,22.45
08/1920,32,15.1,23.55
09/1920,28.4,15.8,22.1
10/1920,19.5,11.7,15.6
11/1920,16.9,9,12.95
12/1920,13.2,6.7,9.95
01/1921,14.3,6.3,10.3
02/1921,13.6,6.5,10.05
03/1921,17,7.2,12.1
04/1921,20.1,8.5,14.3
05/1921,22.5,10.5,16.5
06/1921,27.2,13.5,20.35
07/1921,32.1,16.9,24.5
08/1921,31.3,16.3,23.8
09/1921,26.6,15.6,21.1
10/1921,22.8,14.4,18.6
11/1921,16.9,9.2,13.05
12/1921,13.1,5.2,9.15
01/1922,13.4,5.9,9.65
02/1922,14.6,6.5,10.55
03/1922,14.1,6.4,10.25
04/1922,17.9,7.8,12.85
05/1922,25.8,13.6,19.7
06/1922,27,14.1,20.55
07/1922,30.7,14.5,22.6
08/1922,31,16.9,23.95
09/1922,26.3,14.5,20.4
10/1922,22.1,13.2,17.65
11/1922,16.6,9.1,12.85
12/1922,13.3,6,9.65
01/1923,11.7,3.2,7.45
02/1923,14.4,7,10.7
03/1923,18,8.6,13.3
04/1923,15.4,7.4,11.4
05/1923,22.4,9.8,16.1
06/1923,28,14.2,21.1
07/1923,32.1,16.4,24.25
08/1923,33.8,18.3,26.05
09/1923,27.1,14.6,20.85
10/1923,24.4,14.4,19.4
11/1923,14.7,7.5,11.1
12/1923,12.2,3.7,7.95
01/1924,12.8,6.1,9.45
02/1924,11.9,3.8,7.85
03/1924,14.7,8.9,11.8
04/1924,18.9,9.3,14.1
05/1924,24.6,12.8,18.7
06/1924,29.1,14.5,21.8
07/1924,31.4,15.7,23.55
08/1924,30.4,15.3,22.85
09/1924,25.9,15.1,20.5
10/1924,21.8,12.9,17.35
11/1924,16,8.7,12.35
12/1924,13.6,7.4,10.5
01/1925,13.3,5.8,9.55
02/1925,13.4,5.6,9.5
03/1925,14.6,5.3,9.95
04/1925,18.5,7.7,13.1
05/1925,21.1,9.9,15.5
06/1925,24.6,14,19.3
07/1925,29.1,15.3,22.2
08/1925,31.2,16.6,23.9
09/1925,28.1,15.4,21.75
10/1925,22.6,13.4,18
11/1925,14.7,7.7,11.2
12/1925,13.8,9,11.4
01/1926,13.6,6.6,10.1
02/1926,16.8,9.1,12.95
03/1926,18.6,8.9,13.75
04/1926,18.3,8.9,13.6
05/1926,20.9,10.1,15.5
06/1926,27.2,13.4,20.3
07/1926,31.7,16.7,24.2
08/1926,33.6,18.4,26
09/1926,31.7,18.6,25.15
10/1926,24.9,14.6,19.75
11/1926,15.2,8.4,11.8
12/1926,12.6,4.8,8.7
01/1927,12.6,5.7,9.15
02/1927,14,5.9,9.95
03/1927,15,7.2,11.1
04/1927,21.7,9.3,15.5
05/1927,23.4,12.3,17.85
06/1927,28.4,15.2,21.8
07/1927,27.8,13.8,20.8
08/1927,30.5,16.1,23.3
09/1927,27.3,14.8,21.05
10/1927,24.5,14.6,19.55
11/1927,15.7,7.8,11.75
12/1927,12.5,7.1,9.8
01/1928,12,5.1,8.55
02/1928,15.8,7.4,11.6
03/1928,15.2,8,11.6
04/1928,16.8,8.4,12.6
05/1928,19.5,10,14.75
06/1928,27.6,14.7,21.15
07/1928,34.4,19.3,26.85
08/1928,31.2,16.8,24
09/1928,28.2,16.7,22.45
10/1928,21.6,12.4,17
11/1928,16,8.1,12.05
12/1928,13.3,5.2,9.25
01/1929,12,5.4,8.7
02/1929,13.9,7,10.45
03/1929,18,8.4,13.2
04/1929,20.7,10.4,15.55
05/1929,22.6,9.6,16.1
06/1929,28.4,14.8,21.6
07/1929,32.2,16.9,24.55
08/1929,32.1,16.9,24.5
09/1929,26.5,15.9,21.2
10/1929,23,12.3,17.65
11/1929,16.4,8.8,12.6
12/1929,14.8,8.4,11.6
01/1930,13,6.4,9.7
02/1930,14,4.6,9.3
03/1930,17.1,7.9,12.5
04/1930,15.6,7.7,11.65
05/1930,23.4,11.4,17.4
06/1930,24.4,12.5,18.45
07/1930,29.4,15.2,22.3
08/1930,32.6,17.8,25.2
09/1930,29,16,22.5
10/1930,24.4,13.5,18.95
11/1930,18.2,9.8,14
12/1930,13.7,7.2,10.45
01/1931,12.6,5.5,9.05
02/1931,14.4,5.1,9.75
03/1931,17.1,9.1,13.1
04/1931,19.6,9,14.3
05/1931,22.4,10,16.2
06/1931,28.5,14.4,21.45
07/1931,29.5,14.5,22
08/1931,28.7,14.5,21.6
09/1931,26.1,14.7,20.4
10/1931,21.7,12.6,17.15
11/1931,16,9.2,12.6
12/1931,13.2,4.4,8.8
01/1932,12.9,5.4,9.15
02/1932,12.1,4.3,8.2
03/1932,16.8,8,12.4
04/1932,17.2,6.8,12
05/1932,22,9.7,15.85
06/1932,25.5,12.7,19.1
07/1932,29.5,14.8,22.15
08/1932,30.8,16.3,23.55
09/1932,26.2,14.7,20.45
10/1932,20.9,11.6,16.25
11/1932,16.6,9.1,12.85
12/1932,13.5,7,10.25
01/1933,11.9,4.5,8.2
02/1933,14.5,5.2,9.85
03/1933,15.8,7.8,11.8
04/1933,22.9,10.3,16.6
05/1933,26.2,12.6,19.4
06/1933,26.3,12.4,19.35
07/1933,32.2,16.3,24.25
08/1933,33.6,17.8,25.7
09/1933,25.8,14.5,20.15
10/1933,21.2,12.5,16.85
11/1933,14,6.3,10.15
12/1933,10.3,3.7,7
01/1934,12.5,4.2,8.35
02/1934,14.6,4,9.3
03/1934,14.4,5.1,9.75
04/1934,16.3,7,11.65
05/1934,23.9,11.4,17.65
06/1934,29.1,14.2,21.65
07/1934,31.5,16.1,23.8
08/1934,29.5,14.6,22.05
09/1934,28.8,14.6,21.7
10/1934,24.5,13,18.75
11/1934,14,6,10
12/1934,14.8,7.9,11.35
01/1935,11.8,3,7.4
02/1935,14.1,4.2,9.15
03/1935,18.3,7.4,12.85
04/1935,20.7,8.3,14.5
05/1935,19.7,9,14.35
06/1935,26.5,12.6,19.55
07/1935,32.4,15.7,24.05
08/1935,30.9,16.2,23.55
09/1935,29.1,14.8,21.95
10/1935,21.2,10.5,15.85
11/1935,15.9,8.2,12.05
12/1935,13.6,6.9,10.25
01/1936,14.3,8.4,11.35
02/1936,14.5,7.8,11.15
03/1936,14.6,7.3,10.95
04/1936,17.9,9.1,13.5
05/1936,18.7,8.6,13.65
06/1936,24.5,11.1,17.8
07/1936,29.5,14.3,21.9
08/1936,32.9,17.3,25.1
09/1936,28.8,14.8,21.8
10/1936,21.7,11.5,16.6
11/1936,15.6,7.3,11.45
12/1936,13.2,4.2,8.7
01/1937,12.9,6.2,9.55
02/1937,16,7.2,11.6
03/1937,14.5,6.4,10.45
04/1937,20.1,9.7,14.9
05/1937,23.7,10.7,17.2
06/1937,25.5,12.5,19
07/1937,33.2,16.6,24.9
08/1937,32.5,16.4,24.45
09/1937,27.7,14.8,21.25
10/1937,21.1,12.8,16.95
11/1937,17.2,11.2,14.2
12/1937,12.2,5.5,8.85
01/1938,12.8,5.5,9.15
02/1938,14.3,5.1,9.7
03/1938,20.2,8.4,14.3
04/1938,21.6,10.1,15.85
05/1938,22,10.8,16.4
06/1938,30.2,14.6,22.4
07/1938,31.5,14.8,23.15
08/1938,30.6,15.6,23.1
09/1938,24.9,13.7,19.3
10/1938,24,12.5,18.25
11/1938,19,10.5,14.75
12/1938,12.4,5.8,9.1
01/1939,13.6,7.1,10.35
02/1939,14.6,6.2,10.4
03/1939,16.7,6.1,11.4
04/1939,18.3,8,13.15
05/1939,23.4,11.3,17.35
06/1939,24.9,13.2,19.05
07/1939,30.9,15.6,23.25
08/1939,29.2,15.1,22.15
09/1939,27.6,16,21.8
10/1939,19.7,11.9,15.8
11/1939,16.7,8.3,12.5
12/1939,13.5,7,10.25
01/1940,12.6,5.7,9.15
02/1940,15.3,7.8,11.55
03/1940,18.2,9.8,14
04/1940,20.2,9.6,14.9
05/1940,21.7,11.1,16.4
06/1940,27,13.9,20.45
07/1940,31.5,14.6,23.05
08/1940,33.7,17.5,25.6
09/1940,22.3,15,18.65
10/1940,19.7,11.4,15.55
11/1940,16,8.4,12.2
12/1940,12.1,3.8,7.95
01/1941,10.7,4.9,7.8
02/1941,13.3,6.9,10.1
03/1941,15,7.5,11.25
04/1941,16.9,9.4,13.15
05/1941,19.9,10.2,15.05
06/1941,28.3,15,21.65
07/1941,31,17.2,24.1
08/1941,32.9,17,24.95
09/1941,29.6,17.6,23.6
10/1941,25.8,14.4,20.1
11/1941,15.3,8.3,11.8
12/1941,12.3,4.1,8.2
01/1942,11.8,4.7,8.25
02/1942,13.2,4.3,8.75
03/1942,15.9,9,12.45
04/1942,17.4,9.3,13.35
05/1942,22.6,11.4,17
06/1942,27.9,14.8,21.35
07/1942,32.2,16,24.1
08/1942,32.4,15.7,24.05
09/1942,28,15.2,21.6
10/1942,23.1,14,18.55
11/1942,17,9.2,13.1
12/1942,14,7.4,10.7
01/1943,14,7.7,10.85
02/1943,15.1,5.8,10.45
03/1943,16.8,8,12.4
04/1943,22.3,11.4,16.85
05/1943,26.1,12,19.05
06/1943,32.2,15.8,24
07/1943,30.5,15.9,23.2
08/1943,34.1,17.8,25.95
09/1943,25.9,14,19.95
10/1943,21.5,12.6,17.05
11/1943,16.4,7.1,11.75
12/1943,13,5.9,9.45
01/1944,14.3,5.3,9.8
02/1944,14.7,3.9,9.3
03/1944,18,7.1,12.55
04/1944,21.7,11.1,16.4
05/1944,26.4,13,19.7
06/1944,28.9,16.5,22.7
07/1944,31.9,16.2,24.05
08/1944,30.6,16.7,23.65
09/1944,29,16.1,22.55
10/1944,20.7,10.7,15.7
11/1944,17,8.9,12.95
12/1944,12.7,5.1,8.9
01/1945,10,2.7,6.35
02/1945,16.6,6.4,11.5
03/1945,21.7,8.2,14.95
04/1945,25.5,12.5,19
05/1945,24.6,11.9,18.25
06/1945,30.7,15.7,23.2
07/1945,31.8,15.7,23.75
08/1945,30.1,15,22.55
09/1945,30.6,15.4,23
10/1945,24.5,14.7,19.6
11/1945,18.5,11.6,15.05
12/1945,14.5,7.7,11.1
01/1946,12.1,4.1,8.1
02/1946,16.4,6.3,11.35
03/1946,16,7.3,11.65
04/1946,18.2,9.5,13.85
05/1946,18.6,10.1,14.35
06/1946,28.6,13.3,20.95
07/1946,34,17.5,25.75
08/1946,31,15.3,23.15
09/1946,29,15.2,22.1
10/1946,23.4,13.3,18.35
11/1946,17.2,8.6,12.9
12/1946,12.6,5,8.8
01/1947,12.6,4.8,8.7
02/1947,14.1,7.3,10.7
03/1947,17,8.8,12.9
04/1947,22.9,10.4,16.65
05/1947,23.7,10.9,17.3
06/1947,29.9,13.4,21.65
07/1947,33.5,15.7,24.6
08/1947,32.5,16.6,24.55
09/1947,29.3,15.6,22.45
10/1947,25.4,13.6,19.5
11/1947,22.8,11.2,17
12/1947,14.7,4.9,9.8
01/1948,15.1,6.6,10.85
02/1948,17.3,7.8,12.55
03/1948,21,9.9,15.45
04/1948,19.2,8.4,13.8
05/1948,20.7,10.7,15.7
06/1948,30.1,14.1,22.1
07/1948,32.8,14.6,23.7
08/1948,33,15.8,24.4
09/1948,31.7,15.8,23.75
10/1948,24.7,13.1,18.9
11/1948,21.4,10.3,15.85
12/1948,16.4,7.7,12.05
01/1949,15.6,5.2,10.4
02/1949,18.6,7,12.8
03/1949,18.4,7.3,12.85
04/1949,23.9,11.4,17.65
05/1949,24,10.4,17.2
06/1949,29.3,14.3,21.8
07/1949,33.7,16.9,25.3
08/1949,35.2,17.7,26.45
09/1949,27.2,15.3,21.25
10/1949,25.1,13.1,19.1
11/1949,19.2,9.5,14.35
12/1949,14,5.9,9.95
01/1950,13.9,4.9,9.4
02/1950,16.2,6.2,11.2
03/1950,18.5,7.4,12.95
04/1950,21.2,8.2,14.7
05/1950,22.7,10.4,16.55
06/1950,28.4,14,21.2
07/1950,33.9,15.4,24.65
08/1950,32.3,14.5,23.4
10/1950,25.3,12.3,18.8
11/1950,19.9,9.8,14.85
12/1950,13,4.4,8.7
01/1951,13.7,5,9.35
02/1951,13.2,4.9,9.05
03/1951,17.5,6.9,12.2
04/1951,20.5,8.2,14.35
05/1951,20.7,8.6,14.65
06/1951,30.1,13.7,21.9
07/1951,31.4,14.9,23.15
08/1951,31.6,14.3,22.95
09/1951,30.2,14.9,22.55
10/1951,22.6,10.9,16.75
11/1951,16.5,8.3,12.4
12/1951,15.2,6.9,11.05
01/1952,12.7,2.9,7.8
02/1952,14.7,5,9.85
03/1952,19.4,8.8,14.1
04/1952,19.6,8.1,13.85
05/1952,22.3,10.9,16.6
06/1952,27.6,14.8,21.2
07/1952,31.4,15.2,23.3
08/1952,30.8,14.6,22.7
09/1952,27.5,13.2,20.35
10/1952,24.1,12.8,18.45
11/1952,19.6,8.5,14.05
12/1952,14.9,6.1,10.5
01/1953,13.5,4,8.75
02/1953,14.9,4.7,9.8
03/1953,18.1,6.9,12.5
04/1953,19.8,9.4,14.6
05/1953,27.4,12.4,19.9
06/1953,27.8,12.5,20.15
07/1953,33.4,14.8,24.1
08/1953,35,17.2,26.1
09/1953,30.1,15.3,22.7
10/1953,22.5,12.2,17.35
11/1953,19.4,9.7,14.55
12/1953,15.5,7.9,11.7
01/1954,11.9,3,7.45
02/1954,13.4,4.4,8.9
03/1954,16,7.5,11.75
04/1954,19.5,8.4,13.95
05/1954,25.5,11.7,18.6
06/1954,28,12.7,20.35
07/1954,33.9,15.6,24.75
08/1954,30.5,15.1,22.8
09/1954,30.7,15.3,23
10/1954,26.9,14.8,20.85
11/1954,19.2,11.3,15.25
12/1954,15.5,6.4,10.95
01/1955,15.5,9.1,12.3
02/1955,15.8,6.8,11.3
03/1955,16.3,7.2,11.75
04/1955,23.7,11.3,17.5
05/1955,26.9,12.7,19.8
06/1955,29.9,15.1,22.5
07/1955,32,15.1,23.55
08/1955,33.3,17,25.15
09/1955,31,16.7,23.85
10/1955,24,13.3,18.65
11/1955,17.5,10,13.75
12/1955,16.1,8,12.05
01/1956,14.1,6.4,10.25
02/1956,10.6,1.4,6
03/1956,16.6,7.5,12.05
04/1956,17.9,8.9,13.4
05/1956,24.1,11,17.55
06/1956,29.4,13.4,21.4
07/1956,31.5,14.2,22.85
08/1956,30.4,14.4,22.4
09/1956,27,13.7,20.35
10/1956,23.8,12.8,18.3
11/1956,15.9,5.5,10.7
12/1956,14.6,4.2,9.4
01/1957,12.9,2.9,7.9
02/1957,15.8,6.3,11.05
03/1957,18.6,8.5,13.55
04/1957,19.2,6.9,13.05
05/1957,23.1,9.4,16.25
06/1957,27.6,12.3,19.95
07/1957,33.7,16,24.85
08/1957,33.4,15.8,24.6
09/1957,30.7,15.9,23.3
10/1957,22.8,11.3,17.05
11/1957,16.9,7.6,12.25
12/1957,12.8,3.7,8.25
01/1958,13.4,5.3,9.35
02/1958,16.6,7.7,12.15
03/1958,17.1,6.6,11.85
04/1958,20,7.1,13.55
05/1958,25.5,10.5,18
06/1958,27.6,12.9,20.25
07/1958,32.5,14.3,23.4
08/1958,31.8,15.2,23.5
09/1958,29.8,14.6,22.2
10/1958,25.3,11.8,18.55
11/1958,18.8,7.5,13.15
12/1958,14.2,7.4,10.8
01/1959,14.5,7.4,10.95
02/1959,14.7,4.8,9.75
03/1959,15.8,7,11.4
04/1959,19.2,7.7,13.45
05/1959,22.3,10.6,16.45
06/1959,29.2,13.1,21.15
07/1959,33.1,16,24.55
08/1959,32.2,15.7,23.95
09/1959,27.6,15.2,21.4
10/1959,21.9,11.7,16.8
11/1959,16.6,7.8,12.2
12/1959,13.7,6.2,9.95
01/1960,13.2,5.2,9.2
02/1960,15,7.1,11.05
03/1960,16.5,7.1,11.8
04/1960,21.3,8.8,15.05
05/1960,23.9,11,17.45
06/1960,30,13.7,21.85
07/1960,32.1,14.3,23.2
08/1960,30.6,13.4,22
09/1960,28.9,14,21.45
10/1960,20.1,11.1,15.6
