date,tmax,tmin,tmed
11/1960,16.7,9.6,13.15
12/1960,12.5,4.5,8.5
01/1961,12.1,4.5,8.3
02/1961,17.7,6.8,12.25
03/1961,20.8,8.1,14.45
04/1961,19.9,8.4,14.15
05/1961,27,12.4,19.7
06/1961,28.9,14.2,21.55
07/1961,33.2,15.5,24.35
08/1961,35.3,17.4,26.35
09/1961,29.1,15,22.05
10/1961,21.6,10.9,16.25
11/1961,16.5,8.1,12.3
12/1961,15.4,8.1,11.75
01/1962,13.7,5.4,9.55
02/1962,15.7,4.3,10
03/1962,15.8,7.8,11.8
04/1962,20.7,8.3,14.5
05/1962,25.4,10.2,17.8
06/1962,29.7,14.5,22.1
07/1962,32.3,13.8,23.05
08/1962,34.1,15.5,24.8
09/1962,30.7,15.1,22.9
10/1962,24,14,19
11/1962,15.3,5.9,10.6
12/1962,13.6,4.4,9
01/1963,13.3,6.5,9.9
02/1963,12.5,4.7,8.6
03/1963,16.3,6.8,11.55
04/1963,19.9,8.3,14.1
05/1963,24.7,10.8,17.75
06/1963,27.4,12.6,20
07/1963,32.9,15.1,24
08/1963,31.7,14,22.85
09/1963,28.1,13.6,20.85
10/1963,26.9,13.2,20.05
11/1963,17.2,10.6,13.9
12/1963,13.1,6.8,9.95
01/1964,14.1,5.1,9.6
02/1964,15,6.7,10.85
03/1964,15.9,6.8,11.35
04/1964,20,6.9,13.45
05/1964,27.7,11.5,19.6
06/1964,29.3,14.1,21.7
07/1964,32.4,14.8,23.6
08/1964,33,15.8,24.4
09/1964,31.1,17.8,24.45
10/1964,23.1,11.1,17.1
11/1964,17.6,7.9,12.75
12/1964,12.8,3.1,7.95
01/1965,13.3,4.4,8.85
02/1965,13.5,4.1,8.8
03/1965,17.1,7.1,12.1
04/1965,22.1,7.7,14.9
05/1965,28.4,11.6,20
06/1965,29.8,13.3,21.55
07/1965,30.1,12.3,21.2
08/1965,33,15.1,24.05
09/1965,26.2,12.5,19.35
10/1965,20.7,13.1,16.9
11/1965,15.6,7.9,11.75
12/1965,13.5,6.1,9.8
01/1966,14.8,8.2,11.5
02/1966,15.2,7.2,11.2
03/1966,18.4,5.1,11.75
04/1966,19.3,8.6,13.95
05/1966,26.2,10.3,18.25
06/1966,27.7,12.8,20.25
07/1966,32.1,14.4,23.25
08/1966,32.3,14,23.15
09/1966,30.9,16,23.45
10/1966,20.3,10.7,15.5
11/1966,14.8,5,9.9
12/1966,14.1,3.8,8.95
01/1967,13.5,4,8.75
02/1967,15.3,5.7,10.5
03/1967,19.1,7.6,13.35
04/1967,20.2,7.1,13.65
05/1967,22.3,8.4,15.35
06/1967,29.1,12.9,21
07/1967,33,13.6,23.3
08/1967,32.1,14.2,23.15
09/1967,28.3,14.2,21.25
10/1967,23.4,12.1,17.75
11/1967,15.7,7.9,11.8
12/1967,12.6,3.5,8.05
01/1968,14.7,3.4,9.05
02/1968,14.3,6.4,10.35
03/1968,15.7,6,10.85
04/1968,18.3,7.2,12.75
05/1968,24.1,9.9,17
06/1968,30.3,12.9,21.6
07/1968,32.3,15.1,23.7
08/1968,31.7,15.3,23.5
09/1968,27.8,14,20.9
10/1968,26.3,14.1,20.2
11/1968,17.3,9.8,13.55
12/1968,12.9,5.7,9.3
01/1969,13.7,6.9,10.3
02/1969,12.8,5.5,9.15
03/1969,15.6,7.1,11.35
04/1969,18.6,7.4,13
05/1969,21.8,9.5,15.65
06/1969,26.9,12.8,19.85
07/1969,34.9,16.7,25.8
08/1969,32.9,15.9,24.4
09/1969,24.7,13.3,19
10/1969,21.9,12.9,17.4
11/1969,16.2,7.2,11.7
12/1969,12.4,3.9,8.15
01/1970,13.5,7.7,10.6
02/1970,14.8,4.7,9.75
03/1970,15.8,4.4,10.1
04/1970,21,7.5,14.25
05/1970,24.4,11.2,17.8
06/1970,25.6,12.6,19.1
07/1970,32.6,15.1,23.85
08/1970,31.1,14.2,22.65
09/1970,31.1,15,23.05
10/1970,24.4,11.6,18
11/1970,20.7,10.1,15.4
12/1970,12,2.7,7.35
01/1971,12.4,5.3,8.85
02/1971,16.2,5.1,10.65
03/1971,15.7,4.6,10.15
04/1971,17,8.1,12.55
05/1971,19.2,8.9,14.05
06/1971,25.3,11.5,18.4
07/1971,31.1,15.7,23.4
08/1971,29.7,13.5,21.6
09/1971,29.6,14.5,22.05
10/1971,26.4,13.8,20.1
11/1971,16.8,5.5,11.15
12/1971,15,5.6,10.3
01/1972,12.6,4,8.3
02/1972,13.7,5.7,9.7
03/1972,15.1,5.9,10.5
04/1972,20.5,7.8,14.15
05/1972,23,7.8,15.4
06/1972,26.3,9.9,18.1
07/1972,30.7,14.9,22.8
08/1972,30.9,15.1,23
09/1972,25.4,13.3,19.35
10/1972,20.3,11.9,16.1
11/1972,16.8,9,12.9
12/1972,13.4,6,9.7
01/1973,13,4.5,8.75
02/1973,14.2,3.8,9
03/1973,16.4,5.5,10.95
04/1973,21.9,8,14.95
05/1973,23.8,10.8,17.3
06/1973,28.9,13.8,21.35
07/1973,30.8,14,22.4
08/1973,34.4,15.9,25.15
09/1973,28.5,14.5,21.5
10/1973,23,12.2,17.6
11/1973,19.1,9.1,14.1
12/1973,13.6,3.4,8.5
01/1974,14.9,7.4,11.15
02/1974,14.2,4.9,9.55
03/1974,15.9,5.5,10.7
04/1974,16.9,6.8,11.85
05/1974,24.6,10.2,17.4
06/1974,28,13.5,20.75
07/1974,35.9,17.1,26.5
08/1974,33.3,15,24.15
09/1974,28.2,12.1,20.15
10/1974,21.9,8.6,15.25
11/1974,18.4,8.3,13.35
12/1974,16.4,6,11.2
01/1975,14.7,5.7,10.2
02/1975,14.8,7.3,11.05
03/1975,14.9,5,9.95
04/1975,19.4,6.8,13.1
05/1975,21.6,9.1,15.35
06/1975,27,12.2,19.6
07/1975,32.7,13.6,23.15
08/1975,33.1,15.7,24.4
09/1975,26.9,13.2,20.05
10/1975,24.2,11.8,18
11/1975,18.7,8.1,13.4
12/1975,12.4,4.2,8.3
01/1976,14.8,2.9,8.85
02/1976,15.3,6.2,10.75
03/1976,18,5.9,11.95
04/1976,16.9,7.2,12.05
05/1976,22.9,9.7,16.3
06/1976,32.3,15.1,23.7
07/1976,32.4,15.7,24.05
08/1976,32.1,16.5,24.3
09/1976,26.5,13.5,20
10/1976,20.1,10.6,15.35
11/1976,15.5,5.8,10.65
12/1976,13.9,7.8,10.85
01/1977,12.9,6.4,9.65
02/1977,14.6,7.6,11.1
03/1977,17.7,7.1,12.4
04/1977,21.1,8,14.55
05/1977,23.1,9,16.05
06/1977,26.1,10.8,18.45
07/1977,29.2,13.5,21.35
08/1977,29.6,14.2,21.9
09/1977,30.9,16.3,23.6
10/1977,22.2,12.6,17.4
11/1977,16.9,7.9,12.4
12/1977,15.5,9.3,12.4
01/1978,13,5.6,9.3
02/1978,15,7.2,11.1
03/1978,17.9,6.1,12
04/1978,17.7,7.2,12.45
05/1978,21.2,9.6,15.4
06/1978,23.8,11.5,17.65
07/1978,33.3,15,24.15
08/1978,32.9,14.9,23.9
09/1978,32.8,17.8,25.3
10/1978,24.2,12.7,18.45
11/1978,18,9.1,13.55
12/1978,15.5,9.4,12.45
01/1979,14,7.3,10.65
02/1979,14.2,7.6,10.9
03/1979,14.9,5.9,10.4
04/1979,18.6,7.3,12.95
05/1979,23.8,9.5,16.65
06/1979,30.2,13.6,21.9
07/1979,31.8,16.2,24
08/1979,32.6,15.4,24
09/1979,28.7,14.6,21.65
10/1979,19.7,11.7,15.7
11/1979,18.6,7.9,13.25
12/1979,15.5,6.4,10.95
01/1980,14.4,5.8,10.1
02/1980,15.9,6.5,11.2
03/1980,16.5,7.4,11.95
04/1980,21.1,9.6,15.35
05/1980,21.9,10.4,16.15
06/1980,28.3,12.9,20.6
07/1980,31.9,14.5,23.2
08/1980,33,16.4,24.7
09/1980,31.5,16.2,23.85
10/1980,23.7,12.2,17.95
11/1980,17.7,8.2,12.95
12/1980,14.9,4,9.45
01/1981,16.5,3.6,10.05
02/1981,15.9,4.5,10.2
03/1981,19.5,8.8,14.15
04/1981,17.6,8.1,12.85
05/1981,22.6,9.5,16.05
06/1981,31.9,15.7,23.8
07/1981,33.7,16.7,25.2
08/1981,32.3,15.5,23.9
09/1981,28.8,15.6,22.2
10/1981,24.9,13.1,19
11/1981,23,11.1,17.05
12/1981,15.5,8.3,11.9
01/1982,14.2,6.5,10.35
02/1982,14.9,6.6,10.75
03/1982,18.9,7,12.95
04/1982,20.4,9.5,14.95
05/1982,25.2,10.4,17.8
06/1982,29.5,13.1,21.3
07/1982,29.6,13.9,21.75
08/1982,32.9,16.2,24.55
09/1982,28.3,15.9,22.1
10/1982,22.1,10.8,16.45
11/1982,16.5,8.4,12.45
12/1982,13,5.3,9.15
01/1983,15.3,5,10.15
02/1983,13.4,4.4,8.9
03/1983,20.2,8,14.1
04/1983,18.5,8,13.25
05/1983,21.2,9.3,15.25
06/1983,30.2,14.6,22.4
07/1983,29.1,14.5,21.8
08/1983,30.5,15.9,23.2
09/1983,31.5,16.9,24.2
10/1983,25.2,13.8,19.5
11/1983,18.3,12.3,15.3
12/1983,14.7,6.5,10.6
01/1984,13,5.3,9.15
02/1984,14.3,4.2,9.25
03/1984,15.5,5.6,10.55
04/1984,20.6,11.1,15.85
05/1984,18.7,8.2,13.45
06/1984,26.6,13.6,20.1
07/1984,33,14.4,23.7
08/1984,32.4,15.6,24
09/1984,29.8,14.3,22.05
10/1984,23.5,11.6,17.55
11/1984,16.8,9.2,13
12/1984,14.5,7,10.75
01/1985,12.8,3.8,8.3
02/1985,15.6,8.7,12.15
03/1985,16.3,5.6,10.95
04/1985,19.9,9.3,14.6
05/1985,20.8,8.9,14.85
06/1985,28.9,13.4,21.15
07/1985,32.6,15.3,23.95
08/1985,33.5,14.7,24.1
09/1985,32.5,17.2,24.85
10/1985,26.9,13.5,20.2
11/1985,18.2,8.7,13.45
12/1985,14.8,6.8,10.8
01/1986,13.5,4.6,9.05
02/1986,13.6,6.1,9.85
03/1986,16.5,5.7,11.1
04/1986,16.1,5.3,10.7
05/1986,26.3,10.7,18.5
06/1986,29.9,13,21.45
07/1986,34.8,15.8,25.3
08/1986,31.5,14.3,22.9
09/1986,28.1,16,22.05
10/1986,24.3,12.9,18.6
11/1986,18.6,8.3,13.45
12/1986,14.8,5.5,10.15
01/1987,13.3,4.8,9.05
02/1987,14.8,5.8,10.3
03/1987,19.8,8.1,13.95
04/1987,20.9,9.6,15.25
05/1987,25.6,10.8,18.2
06/1987,30.4,13.8,22.1
07/1987,32.7,16.6,24.65
08/1987,32.4,17.1,24.75
09/1987,32.6,18.1,25.35
10/1987,19.9,11.6,15.75
11/1987,17.3,8.4,12.85
12/1987,15.1,8.9,12
01/1988,13.8,6.6,10.2
02/1988,14.3,5.2,9.75
03/1988,19.5,6.4,12.95
04/1988,20.5,8.3,14.4
05/1988,22.1,10.4,16.25
06/1988,25.3,13.4,19.35
07/1988,32.2,14.7,23.45
08/1988,33.7,14.7,24.2
09/1988,32.4,15.7,24.05
10/1988,24.1,13,18.55
11/1988,18,10.8,14.4
12/1988,15.2,4.5,9.85
01/1989,14.6,4.9,9.75
02/1989,16.1,6.6,11.35
03/1989,19.6,7.3,13.45
04/1989,17.4,6.9,12.15
05/1989,25,11.4,18.2
06/1989,30.5,13.7,22.1
07/1989,35.6,17.5,26.55
08/1989,32.2,16.8,24.5
09/1989,28.8,15.3,22.05
10/1989,24.4,14.2,19.3
11/1989,17.6,10.4,14
12/1989,15.4,9.9,12.65
01/1990,13.9,5.6,9.75
02/1990,18.1,7.5,12.8
03/1990,19.6,8.2,13.9
04/1990,19.2,7.5,13.35
05/1990,25.5,11.7,18.6
06/1990,28.2,13.4,20.8
07/1990,35.1,17.5,26.3
08/1990,34.7,17.6,26.15
09/1990,30.3,15.7,23
10/1990,22.3,13,17.65
11/1990,17.6,7.4,12.5
12/1990,13.4,6.2,9.8
01/1991,13.4,4.8,9.1
02/1991,13.2,4.3,8.75
03/1991,16.7,7.7,12.2
04/1991,19.9,7.5,13.7
05/1991,26.6,10.6,18.6
06/1991,32,13.4,22.7
07/1991,34.8,16.8,25.8
08/1991,35.1,18.2,26.65
09/1991,30.7,16.2,23.45
10/1991,22.3,10.7,16.5
11/1991,18.2,8,13.1
12/1991,15.1,6.4,10.75
01/1992,13.2,2.8,8
02/1992,16.5,5.2,10.85
03/1992,21.3,6.8,14.05
04/1992,22.8,8.3,15.55
05/1992,27,12.9,19.95
06/1992,24.9,12.2,18.55
07/1992,34.7,15.9,25.3
08/1992,33.8,17.5,25.65
09/1992,29.9,13.6,21.75
10/1992,20.5,10.2,15.35
11/1992,20.1,9,14.55
12/1992,14.5,7.3,10.9
01/1993,14.6,4.3,9.45
02/1993,15.7,5.6,10.65
03/1993,18.4,7,12.7
04/1993,19.8,7.4,13.6
05/1993,21,10,15.5
06/1993,27.9,13.9,20.9
07/1993,35,15.7,25.35
08/1993,32.5,16.1,24.3
09/1993,26.1,12.9,19.5
10/1993,19.9,10.7,15.3
11/1993,16.6,8.6,12.6
12/1993,14.5,6,10.25
01/1994,13.7,4.9,9.3
02/1994,14.6,5.7,10.15
03/1994,21,8.2,14.6
04/1994,21,6.8,13.9
05/1994,23.5,10.9,17.2
06/1994,31.2,14.7,22.95
07/1994,33.3,14.2,23.75
08/1994,32.8,15.1,23.95
09/1994,27.9,13.2,20.55
10/1994,23.3,13.5,18.4
11/1994,19.4,10.4,14.9
12/1994,15.7,7.8,11.75
01/1995,14.8,6.4,10.6
02/1995,16.3,7.4,11.85
03/1995,20.3,7.5,13.9
04/1995,24,9.6,16.8
05/1995,27.6,12.5,20.05
06/1995,29.2,14,21.6
07/1995,33.8,16.8,25.3
08/1995,34.3,17.3,25.8
09/1995,27.5,13.9,20.7
10/1995,26.8,15,20.9
11/1995,19.3,12.5,15.9
12/1995,14.9,9.5,12.2
01/1996,14,8.4,11.2
02/1996,13.6,4.9,9.25
03/1996,17.3,8.1,12.7
04/1996,21.8,9.8,15.8
05/1996,23.1,11.1,17.1
06/1996,31.9,15.2,23.55
07/1996,33.8,16.6,25.2
08/1996,30.8,14.9,22.85
09/1996,27,15,21
10/1996,24.8,12,18.4
11/1996,18.8,9.3,14.05
12/1996,14.5,8,11.25
01/1997,13.7,6.7,10.2
02/1997,17.7,7.8,12.75
03/1997,24.2,10,17.1
04/1997,23.8,11.7,17.75
05/1997,23.9,11.4,17.65
06/1997,25.7,12.5,19.1
07/1997,30.1,16,23.05
08/1997,31.9,16.4,24.15
09/1997,30.5,16.4,23.45
10/1997,24.8,14.9,19.85
11/1997,17.7,11,14.35
12/1997,15.1,8.4,11.75
01/1998,14.3,6.8,10.55
02/1998,17.7,8.6,13.15
03/1998,21.7,9.1,15.4
04/1998,19,7.8,13.4
05/1998,22.8,11.8,17.3
06/1998,29.2,13.8,21.5
07/1998,34.1,15.6,24.85
08/1998,34.5,18.4,26.45
09/1998,28.2,16.2,22.2
10/1998,24.3,12.1,18.2
11/1998,19,9.2,14.1
12/1998,15.8,5.3,10.55
01/1999,14.3,5.4,9.85
02/1999,15.8,4.4,10.1
03/1999,18.5,8.2,13.35
04/1999,21.9,9.8,15.85
05/1999,24.8,12.2,18.5
06/1999,30.6,13.7,22.15
07/1999,33.7,16.5,25.1
08/1999,32.5,15.3,23.9
09/1999,27.1,15,21.05
10/1999,22.1,13.2,17.65
11/1999,16.8,6.9,11.85
12/1999,14.2,7.5,10.85
01/2000,13.1,3.5,8.3
02/2000,18.2,7,12.6
03/2000,20.5,8.6,14.55
04/2000,16.8,8.9,12.85
05/2000,22.6,12.3,17.45
06/2000,30.6,15,22.8
07/2000,32.3,16.2,24.25
08/2000,33.2,16.6,24.9
09/2000,30.7,15.4,23.05
10/2000,23.6,12,17.8
11/2000,16.4,9.4,12.9
12/2000,15.1,9,12.05
01/2001,13.9,7.7,10.8
02/2001,16.1,7.4,11.75
03/2001,17.8,10.1,13.95
04/2001,21.6,9.3,15.45
05/2001,23.8,11.3,17.55
06/2001,31.8,14.3,23.05
07/2001,31.5,15.3,23.4
08/2001,32.7,16.9,24.8
09/2001,29,16.1,22.55
10/2001,23,15,19
11/2001,16.5,7.7,12.1
12/2001,12.9,6,9.45
01/2002,15.1,7.3,11.2
02/2002,16.9,6.5,11.7
03/2002,18.5,9.2,13.85
04/2002,20.6,8.9,14.75
05/2002,23.6,10.4,17
06/2002,29,13.3,21.15
07/2002,33,15.6,24.3
08/2002,31.8,15.3,23.55
09/2002,26.3,15.8,21.05
10/2002,22.8,14.2,18.5
11/2002,17.7,9.6,13.65
12/2002,15.4,8.7,12.05
01/2003,14.2,5.9,10.05
02/2003,14.2,5.5,9.85
03/2003,18.8,9.1,13.95
04/2003,19.4,9.6,14.5
05/2003,27.1,12.1,19.6
06/2003,31.8,15.4,23.6
07/2003,32.3,15.3,23.8
08/2003,34,18,26
09/2003,31,16.7,23.85
10/2003,22,13.2,17.6
11/2003,17.3,10.1,13.7
12/2003,14.1,7.2,10.65
01/2004,14.7,7.6,11.15
02/2004,15.4,6.9,11.15
03/2004,17.5,7,12.25
04/2004,21.3,8.9,15.1
05/2004,23.2,11,17.1
06/2004,34.1,16.6,25.35
07/2004,33.1,14.9,24
08/2004,35.1,16.2,25.65
09/2004,30.2,15.8,23
10/2004,23.9,13.4,18.65
11/2004,17.9,8.6,13.25
12/2004,14.1,5.2,9.65
01/2005,13.99,3.58,8.79
02/2005,14.28,3.09,8.68
03/2005,19.04,7.85,13.44
04/2005,22.92,9.35,16.13
05/2005,26.93,12.37,19.65
06/2005,32.64,15.94,24.29
07/2005,33.7,16.06,24.88
08/2005,34.76,17.46,26.11
09/2005,30.11,14.94,22.52
10/2005,23.57,14.17,18.87
11/2005,16.02,7.95,11.99
12/2005,14.06,6.04,10.05
01/2006,12.05,4.13,8.09
02/2006,14.13,4.75,9.44
03/2006,17.12,8.03,12.57
04/2006,21.46,9.96,15.71
05/2006,27.87,11.79,19.83
06/2006,30.75,14.71,22.73
07/2006,34.99,16.79,25.89
08/2006,35.16,17.2,26.18
09/2006,30.34,15.93,23.14
10/2006,24.37,14.72,19.54
11/2006,19.04,12.09,15.57
12/2006,14.08,5.72,9.9
01/2007,13.89,5.04,9.47
02/2007,15.76,7.56,11.66
03/2007,18.26,6.77,12.52
04/2007,20.59,9.21,14.9
05/2007,24.21,11.32,17.76
06/2007,27.82,13.38,20.6
07/2007,33.36,15.17,24.27
08/2007,31.91,15.77,23.84
09/2007,29.06,15.69,22.38
10/2007,24.47,13.1,18.79
11/2007,19.65,8.11,13.88
12/2007,14.49,5.78,10.13
01/2008,15.87,7.29,11.58
02/2008,17.06,8.03,12.54
03/2008,18.22,6.8,12.51
04/2008,21.81,9.22,15.52
05/2008,22.33,10.61,16.47
06/2008,31.26,13.79,22.53
07/2008,32.07,15.04,23.55
08/2008,32.44,14.57,23.5
09/2008,28.11,14.7,21.41
10/2008,23.04,11.72,17.38
11/2008,16.87,6.16,11.51
12/2008,13.19,5.44,9.31
01/2009,11.95,5.66,8.81
02/2009,16.14,6.41,11.27
03/2009,20.97,9.12,15.04
04/2009,19.81,7.1,13.46
05/2009,27.34,11.8,19.57
06/2009,31.16,16.33,23.75
07/2009,32.85,15.01,23.93
08/2009,34.62,16.48,25.55
09/2009,29.99,15.76,22.87
10/2009,26.42,14.95,20.68
11/2009,18.96,10.34,14.65
12/2009,14.83,7.36,11.1
01/2010,13.24,6.44,9.84
02/2010,14.19,6.96,10.58
03/2010,16.83,8.09,12.46
04/2010,21.65,10.94,16.29
05/2010,24.11,11.22,17.66
06/2010,29.42,13.57,21.5
07/2010,35.56,17.14,26.35
08/2010,35.72,18.7,27.21
09/2010,29.67,15.57,22.62
10/2010,22.79,12.14,17.46
11/2010,16.92,8.8,12.86
12/2010,14.18,6.9,10.54
01/2011,13.72,6.14,9.93
02/2011,16.5,6.35,11.42
03/2011,17.65,8.25,12.95
04/2011,23.96,12.11,18.04
05/2011,26.62,14.5,20.56
06/2011,29.46,13.86,21.66
07/2011,31.85,15.02,23.44
08/2011,31.9,16.7,24.3
09/2011,30.12,15.51,22.81
10/2011,27.34,14.62,20.98
11/2011,17.22,9.93,13.57
12/2011,14.53,5.83,10.18
01/2012,15,5.16,10.08
02/2012,15.08,2.46,8.77
03/2012,20.53,7.86,14.2
04/2012,17.4,7.78,12.59
05/2012,26.58,12.68,19.63
06/2012,30.13,14.6,22.36
07/2012,32.92,14.56,23.74
08/2012,32.88,16.04,24.46
09/2012,29.78,16.6,23.19
10/2012,23.41,12.6,18
11/2012,16.45,8.88,12.66
12/2012,14.69,6.93,10.81
01/2013,14.63,6.74,10.68
02/2013,14.03,4.89,9.46
03/2013,15.77,8.39,12.08
04/2013,20.65,8.88,14.77
05/2013,23.93,9.8,16.86
06/2013,29.53,14.2,21.86
07/2013,33.43,17,25.21
08/2013,34.53,16.92,25.72
09/2013,30.33,16.42,23.38
10/2013,24.39,14.38,19.39
11/2013,17.05,7.67,12.36
12/2013,15.56,5.5,10.53
01/2014,15.02,7.71,11.36
02/2014,14.99,6.08,10.53
03/2014,19.17,7.74,13.45
04/2014,22.43,11.12,16.77
05/2014,26.8,11.94,19.37
06/2014,29.27,14.52,21.89
07/2014,32.76,15.34,24.05
08/2014,33.15,15.71,24.43
09/2014,29.16,17.15,23.16
10/2014,26.63,15.74,21.18
11/2014,18.38,11.14,14.76
12/2014,14.58,5.33,9.95
01/2015,15.05,4.86,9.96
02/2015,14.54,5.19,9.86
03/2015,20.38,7.62,14
04/2015,22.85,11.01,16.93
05/2015,30.87,13.46,22.16
06/2015,33.96,16.15,25.05
07/2015,34.75,15.37,25.06
08/2015,32.23,16.77,24.5
09/2015,28.18,14.41,21.3
10/2015,23.06,14.35,18.71
11/2015,20.18,10.19,15.19
12/2015,17.8,9.29,13.55
01/2016,15.57,8.32,11.95
02/2016,14.98,6.65,10.81
03/2016,17.01,4.99,11
04/2016,20.26,8.76,14.51
05/2016,23.11,11.07,17.09
06/2016,31.23,14.68,22.95
07/2016,35.96,17.78,26.87
08/2016,35.65,17.23,26.44
09/2016,31.87,15.96,23.92
10/2016,25.12,12.89,19
11/2016,17.73,8.45,13.09
12/2016,15.91,7.14,11.52
01/2017,13.87,4.07,8.97
02/2017,16.02,7.39,11.71
03/2017,18.88,7.99,13.44
04/2017,24.56,10.23,17.4
05/2017,27.23,13.16,20.2
06/2017,33.06,16.01,24.53
07/2017,34.81,15.59,25.2
08/2017,34.63,16.18,25.4
09/2017,30.83,13.57,22.2
10/2017,29.11,15.55,22.33
11/2017,20.28,9.43,14.85
12/2017,15.11,5.65,10.38
01/2018,14.19,5.21,9.7
02/2018,15.21,4.56,9.88
03/2018,15.71,7.27,11.49
04/2018,19.6,8.78,14.19
05/2018,23.12,10.48,16.8
06/2018,27.8,13.4,20.6
07/2018,30.51,14.12,22.31
08/2018,36.11,17.58,26.85
09/2018,32.77,17.33,25.05
10/2018,23.55,12.49,18.02
11/2018,16.87,8.97,12.92
12/2018,15.89,6.65,11.27